source	id	status	jp_byte_len	jp	ko	tokens
constmsg.dat	0	untranslated	14	旗艦用コマンド		
constmsg.dat	1	untranslated	14	戦隊用コマンド		
constmsg.dat	2	untranslated	16	司令官のみ使用可		
constmsg.dat	3	untranslated	20	要塞司令官のみ使用可		
constmsg.dat	4	untranslated	81	[ 移動 ]\n選択ユニットを\n移動させる\n実行待機時間48G秒\n実行所要時間目標地点まで継続		
constmsg.dat	5	untranslated	89	[ 旋回 ]\n選択ユニットを\n旋回させる\n実行待機時間48G秒\n実行所要時間ユニットの旋回性能による		
constmsg.dat	6	untranslated	73	[ 攻撃 ]\n選択ユニットで\n自動攻撃を行う\n実行待機時間48G秒\n実行所要時間0G秒		
constmsg.dat	7	untranslated	69	[ 射撃 ]\n選択ユニットで\n射撃を行う\n実行待機時間48G秒\n実行所要時間0G秒		
constmsg.dat	8	untranslated	81	[ 白兵戦 ]\n敵旗艦に白兵戦を仕掛ける\n旗艦同士\n実行待機時間48G秒\n実行所要時間240G秒		
constmsg.dat	9	untranslated	42	[ レーダー ]\nレーダーを\n表示＆非表示にする		
constmsg.dat	10	untranslated	73	[ 鼓舞 ]\n味方ユニットの士気値を\n上げる\n実行待機時間48G秒\n実行所要時間0G秒		
constmsg.dat	11	untranslated	66	[ 具申 ]\n味方ユニットへ具申する\n実行待機時間48G秒\n実行所要時間0G秒		
constmsg.dat	12	untranslated	87	[ 平行移動 ]\n選択ユニットを\n平行移動する\n実行待機時間48G秒\n実行所要時間目標地点まで継続		
constmsg.dat	13	untranslated	63	[ 停止 ]\n行動をキャンセルする\n実行待機時間0G秒\n実行所要時間0G秒		
constmsg.dat	14	untranslated	80	[ 反転 ]\n旗艦を中心に\n反転する\n実行待機時間48G秒\n実行所要時間旋回性能+機動で算出		
constmsg.dat	15	untranslated	58	[ 空戦 ]\n空戦を仕掛ける\n実行待機時間48G秒\n実行所要時間0G秒		
